idx	X	Y	component
145	1706.853896617358	2381.421086239913	0
146	1706.73840103934	2381.451640944653	0
147	1706.255490173476	2381.5637687221	0
148	1706.853847171751	2381.421109295737	0
149	1707.71685696753	2381.214778411435	0
150	1707.719639698044	2381.215701505478	0
151	1713.495257458095	2379.883806769714	0
152	1707.729480227951	2381.212833270928	0
153	1708.444379746215	2381.048356981742	0
154	1708.452906683033	2381.046535522833	0
155	1711.065927881117	2380.485366596679	0
156	1711.042982647258	2380.489223717903	0
157	1712.281242853259	2380.215249645408	0
158	1711.068610331268	2380.484924747954	0
159	1712.288606106465	2380.213757102682	0
160	1712.287019173201	2380.213774567245	0
161	1713.491626467687	2379.883992813197	0
162	1713.425214563809	2379.900263678484	0
163	1713.499694673602	2379.88084963127	0
164	1713.502634303639	2379.880462066835	0
165	1718.377860758269	2379.0130975845	0
166	1718.362688563025	2379.016473353601	0
167	1719.534040984565	2378.760214829136	0
168	1718.374162571051	2379.013757396016	0
169	1719.597518649944	2378.755876900849	0
170	1719.587519088554	2378.756964120763	0
171	1721.997950352089	2378.255089137867	0
172	1721.98189095074	2378.252510096361	0
173	1722.246613071096	2378.254358261201	0
174	1722.005807629972	2378.253953250975	0
175	1725.716994892668	2377.600614511818	0
176	1725.711584599096	2377.601415341795	0
177	1734.56005265316	2375.875551430593	0
178	1725.735953874799	2377.597576377842	0
179	1735.516581749459	2375.71868520021	0
180	1734.616345307141	2375.844644204763	0
181	1739.058905592323	2375.056499420842	0
182	1734.563497032067	2375.873939673762	0
183	1735.588421648775	2375.705216895652	0
184	1735.582416517254	2375.705864172007	0
185	1739.080091650469	2375.05065832433	0
186	1739.083687094547	2375.050173870821	0
187	1740.244788085419	2374.830585349931	0
188	1740.129213233477	2374.853793661817	0
189	1741.243864122439	2374.595384053865	0
190	1740.241720740265	2374.831440448363	0
191	1741.3618665187	2374.587136109965	0
192	1741.36034583576	2374.587455428342	0
193	1742.675314779636	2374.400683213229	0
194	1742.550039139271	2374.440699524658	0
195	1744.994268886834	2373.833376081675	0
196	1742.682096989945	2374.398763145517	0
197	1745.126379160826	2373.818270814917	0
198	1745.122011916767	2373.819177086094	0
199	1751.34389218916	2372.620112525289	0
200	1751.278812857069	2372.632199809088	0
201	1751.350073700257	2372.619478677606	0
202	1751.348846536677	2372.619626088362	0
203	1752.585561208552	2372.379197828922	0
204	1752.58658315298	2372.377750120775	0
205	1755.042575124227	2371.892269905274	0
206	1752.584254792802	2372.379451306126	0
207	1755.054612705518	2371.889668995581	0
208	1755.052436536588	2371.889783862032	0
209	1756.237174424112	2371.64377152467	0
210	1756.207872385818	2371.647174706688	0
211	1758.772738760016	2371.141397194345	0
212	1756.239425353676	2371.643657167679	0
213	1758.740977292743	2371.147661079177	0
214	1758.744177591263	2371.147355605458	0
215	1770.700995492648	2368.748242533858	0
216	1770.273132539772	2368.867855380267	0
217	1770.027565162051	2368.710224858321	0
218	1770.714303371114	2368.745369261699	0
219	1772.447865021447	2368.506528481686	0
220	1770.373098111439	2368.746119803393	0
221	1771.189915891965	2368.656328012382	0
222	1770.869134910602	2368.727144777496	0
223	1772.432072728325	2368.509407629397	0
224	1772.438899072385	2368.508074188521	0
225	1774.944872575639	2368.040605989046	0
226	1774.942486526626	2368.041799024649	0
227	1778.06915603478	2367.440381237233	0
228	1774.955126238184	2368.038187688439	0
229	1778.076571775087	2367.438006132505	0
230	1778.071559867508	2367.438675470851	0
231	1779.353628183971	2367.180854024399	0
232	1779.337904240027	2367.181990870794	0
233	1786.931484573969	2365.739784123525	0
234	1779.358045719332	2367.179722913063	0
235	1786.935132429512	2365.739395268738	0
236	1786.936220936031	2365.739121072329	0
237	1815.439965791941	2360.067159455022	0
238	1815.277327608468	2360.052487471965	0
239	1816.256502781257	2359.939950016256	0
240	1815.426215436929	2360.069568033922	0
241	1816.590435810209	2359.88771049731	0
242	1816.603073430631	2359.885507608089	0
243	1886.80031170656	2346.877304386506	0
244	1886.812019852953	2346.874785769488	0
245	1888.198545493486	2346.631450378459	0
246	1886.923567823441	2346.863491217447	0
247	1888.346148065162	2346.604787171917	0
248	1888.347526432576	2346.604532018047	0
249	1992.236764289868	2327.424166401287	0
250	1992.177348912472	2327.428604702158	0
251	1993.348676735359	2327.286277212503	0
252	1992.237970434744	2327.423976246299	0
253	1993.411454531196	2327.272590966733	0
254	1993.412836113569	2327.27237798886	0
255	2124.532348439398	2303.117995009036	0
256	2124.486716618605	2303.122559543169	0
257	2124.540022465818	2303.191622706904	0
258	2124.536778736619	2303.117182806619	0
259	2127.323595080262	2302.644390297259	0
260	2127.305250307026	2302.647933059263	0
261	2131.270028863843	2301.935066069339	0
262	2127.310300743802	2302.646009651899	0
263	2131.307488818175	2301.931209320492	0
264	2131.309358627756	2301.930247819091	0
265	2132.620908337308	2301.701096130258	0
266	2132.609256333271	2301.703194130093	0
267	2135.393454417392	2301.213353658775	0
268	2132.627027250854	2301.700205633189	0
269	2135.380376422293	2301.215615011213	0
270	2135.407985825645	2301.211891688539	0
271	2136.678650642518	2300.980947196927	0
